name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
singapore,2019-03-31,31.5,27.2,29.2,37.9,31.1,34.8,25.0,78.7,0.0,0,0.0,,0,0,,16.4,165.2,1010.5,62.2,8.5,145.5,12.6,7,,2019-03-31T07:05:12,2019-03-31T19:12:37,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-01,30.9,25.5,27.7,37.3,25.5,31.4,24.9,84.9,22.802,100,20.83,rain,0,0,,11.6,276.6,1011.3,63.1,9.0,137.2,11.9,6,,2019-04-01T07:04:52,2019-04-01T19:12:21,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-02,31.8,26.6,28.5,37.6,26.6,32.6,24.4,78.6,2.109,100,4.17,rain,0,0,,15.2,51.1,1010.8,59.0,10.0,128.9,11.1,7,,2019-04-02T07:04:32,2019-04-02T19:12:06,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-03,30.6,23.6,27.3,35.6,23.6,30.2,24.0,82.8,27.287,100,16.67,rain,0,0,,15.9,40.3,1011.2,64.0,9.5,168.5,14.7,8,,2019-04-03T07:04:12,2019-04-03T19:11:50,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-04,34.2,25.6,29.3,40.3,25.6,33.2,23.6,72.4,0.0,0,0.0,,0,0,,22.0,36.1,1010.5,63.7,10.2,272.9,23.5,10,,2019-04-04T07:03:53,2019-04-04T19:11:35,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-05,33.6,27.1,29.4,38.6,30.1,33.6,23.4,70.7,0.0,0,0.0,,0,0,,21.5,33.9,1010.8,61.2,10.1,208.3,18.0,10,,2019-04-05T07:03:33,2019-04-05T19:11:20,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-06,34.1,26.5,29.4,37.8,26.5,32.6,22.8,68.8,0.0,0,0.0,,0,0,,22.5,51.6,1010.6,61.6,10.2,271.7,23.5,10,,2019-04-06T07:03:14,2019-04-06T19:11:05,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-07,33.8,25.5,29.5,40.7,25.5,33.1,23.3,70.6,0.0,0,0.0,,0,0,,17.1,65.6,1010.0,66.2,10.2,257.1,22.1,10,,2019-04-07T07:02:55,2019-04-07T19:10:50,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-08,33.5,26.6,29.6,40.3,26.6,34.3,24.2,73.3,0.395,100,4.17,rain,0,0,,19.5,51.6,1009.1,63.1,10.2,191.3,16.5,9,,2019-04-08T07:02:36,2019-04-08T19:10:36,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-09,34.1,27.5,29.6,40.6,31.5,34.7,24.5,75.1,4.35,100,4.17,rain,0,0,,16.9,40.9,1009.1,61.7,10.0,156.6,13.6,8,,2019-04-09T07:02:17,2019-04-09T19:10:22,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-10,33.6,27.2,28.7,39.6,30.9,33.5,24.7,79.5,9.164,100,8.33,rain,0,0,,12.1,21.5,1009.2,60.1,9.3,149.8,13.0,8,,2019-04-10T07:01:58,2019-04-10T19:10:08,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-11,31.5,26.6,28.0,39.1,26.6,32.7,25.3,85.5,27.435,100,8.33,rain,0,0,,11.8,70.0,1008.8,64.3,8.3,110.4,9.5,6,,2019-04-11T07:01:40,2019-04-11T19:09:54,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-12,32.8,25.7,29.0,38.6,25.7,32.8,24.4,77.4,1.055,100,4.17,rain,0,0,31.7,14.8,182.6,1008.8,63.7,9.7,167.9,14.5,8,,2019-04-12T07:01:22,2019-04-12T19:09:40,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-13,32.9,27.1,29.8,39.6,30.6,34.9,24.4,73.3,0.105,100,4.17,rain,0,0,,14.7,153.0,1009.5,62.8,10.1,179.9,15.5,8,,2019-04-13T07:01:05,2019-04-13T19:09:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-14,31.9,27.6,29.4,41.0,31.2,35.5,25.2,78.8,0.0,0,0.0,,0,0,,15.4,108.4,1009.8,61.0,10.1,118.3,10.2,4,,2019-04-14T07:00:47,2019-04-14T19:09:14,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-15,34.5,26.5,30.0,42.4,26.5,35.1,24.5,73.4,2.81,100,8.33,rain,0,0,,17.2,96.9,1009.4,65.2,10.1,223.2,19.3,9,,2019-04-15T07:00:30,2019-04-15T19:09:02,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
singapore,2019-04-16,33.9,27.5,30.8,41.7,31.8,37.0,24.8,71.6,0.0,0,0.0,,0,0,,15.6,91.0,1009.5,65.1,10.2,202.6,17.4,10,,2019-04-16T07:00:14,2019-04-16T19:08:50,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,F0045,48699099999,WSSL"
