Variable:,pr
,Malaysia,Johor,Kedah,Kelantan,"Kuala Lumpur",Melaka,"Negeri Sembilan",Pahang,Perak,Perlis,"Pulau Pinang",Sabah,Sarawak,Selangor,Terengganu,Labuan
1985,2828.80,2479.73,2351.15,2676.55,2364.60,2044.07,2058.58,2449.11,2593.15,2164.37,2557.06,2475.62,3348.86,2277.39,3053.51,3062.40
1986,2761.50,2431.71,2120.29,2390.03,2026.00,1854.16,1765.56,2087.30,2323.20,1975.21,2359.25,2303.44,3561.71,1990.55,2673.26,3294.50
1987,2639.08,2641.47,2288.35,2675.20,2358.30,2256.15,2075.34,2505.51,2860.04,2030.77,2747.54,2179.35,2956.88,2334.63,2855.35,2870.40
1988,3284.54,2655.69,2422.28,2971.00,2729.20,2384.51,2323.46,2680.03,2988.71,2231.61,2744.69,2930.89,4004.44,2737.96,3281.12,4030.20
1989,2708.12,2457.37,2130.48,2214.79,2289.80,2000.36,1967.37,2225.04,2533.87,1987.05,2450.29,2491.08,3265.62,2272.21,2286.09,2974.10
1990,2415.85,2085.76,2058.17,2232.16,2035.40,1777.83,1766.64,2142.49,2419.12,1841.35,2388.15,2048.91,2865.12,2044.87,2441.50,2718.00
1991,2656.63,2614.30,2299.98,2638.54,2468.60,2124.55,2172.33,2579.21,2698.44,2204.71,2550.31,2196.44,2976.65,2438.56,3062.93,2861.00
1992,2448.28,2516.76,1791.32,2158.85,2370.90,1999.63,2033.79,2293.58,2296.65,1667.12,2116.10,2015.01,2877.76,2290.18,2517.84,2766.10
1993,2807.68,2742.42,2543.05,3042.89,2661.10,2361.02,2313.05,2725.87,3062.79,2340.63,2804.94,2276.28,3087.28,2660.78,3268.07,2817.50
1994,2966.26,2516.85,2194.73,2788.06,2497.30,2140.96,2133.83,2581.20,2641.33,2086.68,2395.41,2620.85,3552.80,2411.09,3195.90,2914.50
1995,3199.47,3046.86,2557.06,3274.37,2876.10,2456.84,2430.54,2950.56,3213.37,2242.89,2960.90,2513.32,3764.12,2814.07,3573.64,3465.10
1996,3179.93,2698.45,2579.23,3122.63,2795.90,2304.48,2270.16,2745.89,3104.38,2356.21,2820.58,2878.03,3683.28,2734.36,3361.54,3578.60
1997,2506.13,1875.28,2124.78,2460.47,2459.90,1814.96,1893.59,2197.08,2585.58,1950.01,2343.34,2181.78,2936.14,2439.42,2548.38,2791.30
1998,2647.41,2312.70,2510.46,2691.31,2203.70,1896.62,1887.27,2285.10,2771.45,2300.13,2787.42,2067.58,3165.11,2221.77,2904.27,3073.70
1999,3415.41,2578.21,2982.89,3528.95,2849.30,2266.12,2293.34,2876.04,3332.46,2745.19,3097.82,3237.53,3889.93,2808.52,3840.38,3876.60
2000,3270.83,2853.54,2687.27,3266.93,2970.70,2453.61,2487.71,2974.38,3116.96,2394.53,2818.93,2933.42,3703.60,2891.45,3747.16,3716.40
2001,2973.96,2768.69,2189.39,2697.40,2519.30,2233.71,2199.03,2582.27,2667.26,1990.14,2452.12,2750.73,3458.22,2459.58,3133.60,3458.60
2002,2625.94,2198.91,2067.52,2514.27,2363.80,1976.98,2003.39,2339.66,2636.53,1811.51,2432.59,2032.40,3220.52,2335.42,2714.98,2842.50
2003,3111.67,2844.37,2538.00,3108.49,2822.40,2391.92,2372.99,2956.75,3093.19,2242.24,2990.23,2380.97,3694.30,2756.96,3550.52,3159.70
2004,2785.82,2531.24,2003.63,2392.95,2323.70,2174.10,2077.56,2294.11,2407.95,1820.46,2297.06,2168.02,3593.80,2256.83,2681.08,2798.00
2005,2789.03,2332.99,2313.91,2801.12,2318.50,2081.90,2015.84,2312.64,2688.14,2052.66,2550.79,2620.91,3198.74,2286.29,2956.27,3649.40
2006,3116.61,2848.70,2431.32,2891.33,2633.30,2286.20,2324.62,2784.46,2977.29,2163.26,2776.54,3086.62,3443.85,2609.58,3197.12,3780.60
2007,3248.58,2988.95,2411.08,2780.39,2572.70,2412.62,2341.08,2702.72,2770.00,2275.50,2670.81,2839.64,4003.06,2501.58,3151.15,3685.10
2008,3580.21,2984.40,2748.08,3265.20,2796.60,2566.33,2487.24,2946.68,3223.57,2403.08,3048.64,3216.57,4338.55,2749.60,3658.07,4089.40
2009,3404.89,2619.98,2721.88,3363.79,2708.10,2311.92,2298.00,2872.72,3348.44,2396.36,3149.85,2988.11,4062.44,2742.42,3768.70,3423.10
2010,3104.02,2681.40,2348.21,2756.83,2437.60,2375.25,2204.34,2466.23,2668.21,2178.36,2546.25,2707.05,3856.74,2389.17,3038.08,4144.80
2011,3444.40,2934.81,2732.79,3284.96,2771.00,2402.64,2414.13,2956.41,3186.95,2475.45,3064.83,3607.66,3757.21,2727.87,3758.42,3873.80
2012,3222.63,2780.81,2739.11,3319.89,2700.40,2285.71,2317.69,2933.59,3225.69,2474.97,3062.20,2951.73,3577.30,2653.66,3840.57,3468.30
2013,3095.04,2883.67,2566.69,3011.03,2561.00,2358.56,2307.24,2766.83,2998.82,2300.09,2925.72,2814.04,3493.33,2533.36,3441.23,3595.10
2014,2808.68,2271.93,2184.89,2657.05,2205.60,1976.82,1927.42,2324.57,2513.50,2048.74,2358.79,2668.63,3301.47,2176.84,3007.64,3322.30
2015,2661.86,2158.85,2307.95,2577.30,2314.60,1952.19,1940.83,2294.00,2625.86,2184.01,2495.15,2034.04,3313.33,2277.47,2717.55,2838.60
2016,2829.83,2551.35,2241.10,2717.01,2288.50,2129.80,2059.23,2440.15,2579.77,2121.01,2437.42,2248.06,3486.36,2279.94,3072.81,2763.30
2017,3262.68,2581.88,2416.32,2708.61,2265.70,2161.83,2045.03,2389.73,2631.34,2342.31,2571.41,3247.72,4025.94,2255.08,3065.83,4048.80
2018,3242.88,2636.06,2418.11,3133.35,2638.10,2266.37,2285.12,2798.92,2970.04,2142.38,2747.51,2880.53,3854.61,2593.91,3634.79,3503.30
2019,2598.71,2023.67,2018.71,2365.27,2095.30,1792.32,1811.63,2165.03,2364.32,1863.39,2244.78,2404.32,3115.60,2079.92,2602.65,3169.90
2020,3053.99,2536.33,2540.09,2850.62,2386.50,2225.79,2125.91,2482.49,2781.46,2372.53,2703.11,2659.09,3724.67,2350.44,3109.98,3921.00
2021,3297.34,3399.34,2582.02,3177.23,3042.40,2820.83,2757.61,3193.84,3143.72,2369.75,2873.66,2853.32,3675.05,2937.00,3698.97,3829.60
